X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
'\'(6.6-7.4]\'','\'(4.8-5.5]\'',mar,fri,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(93.17-178.44]\'','\'(-inf-5.61]\'','\'(5.31-8.42]\'','\'(49-57.5]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',oct,tue,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',oct,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(32-40.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',mar,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(5.31-8.42]\'','\'(91.5-inf)\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',mar,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(91.5-inf)\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,sun,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(434.25-519.52]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,mon,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(434.25-519.52]\'','\'(5.61-11.22]\'','\'(23.97-27.08]\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(5.31-8.42]\'','\'(83-91.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',sep,tue,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(57.5-66]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(4.8-5.5]\'',sep,sat,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(4.8-5.5]\'',sep,sat,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(49-57.5]\'','\'(6.7-7.6]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(4.8-5.5]\'',sep,sat,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(22.44-28.05]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',aug,fri,'\'(57.45-65.2]\'','\'(59.14-88.16]\'','\'(604.79-690.06]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(66-74.5]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',sep,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',sep,wed,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(23.97-27.08]\'','\'(-inf-23.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',sep,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(40.5-49]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(4.2-5]\'','\'(4.8-5.5]\'',mar,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(7.4-8.2]\'','\'(4.8-5.5]\'',oct,mon,'\'(80.7-88.45]\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(3.4-4.1]\'',mar,wed,'\'(88.45-inf)\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(3.4-4.1]\'',apr,sat,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(93.17-178.44]\'','\'(-inf-5.61]\'','\'(8.42-11.53]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(3.4-4.1]\'',sep,tue,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(4.2-5]\'','\'(3.4-4.1]\'',sep,mon,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',jun,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(178.44-263.71]\'','\'(50.49-inf)\'','\'(20.86-23.97]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',aug,sat,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',aug,sat,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(16.83-22.44]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',aug,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(57.5-66]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',sep,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(11.22-16.83]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',sep,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,sat,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(30.19-inf)\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,sun,'\'(88.45-inf)\'','\'(146.2-175.22]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,fri,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(11.22-16.83]\'','\'(23.97-27.08]\'','\'(23.5-32]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,mon,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(74.5-83]\'','\'(6.7-7.6]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,fri,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,sun,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,mon,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',sep,tue,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(57.5-66]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',oct,tue,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',oct,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(57.5-66]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(6.6-7.4]\'','\'(2.7-3.4]\'',oct,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(23.5-32]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',mar,tue,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',jul,tue,'\'(72.95-80.7]\'','\'(59.14-88.16]\'','\'(348.98-434.25]\'','\'(-inf-5.61]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',aug,sat,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',aug,tue,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(16.83-22.44]\'','\'(14.64-17.75]\'','\'(49-57.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',sep,sat,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',sep,wed,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(66-74.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(4.2-5]\'','\'(5.5-6.2]\'',sep,wed,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(11.22-16.83]\'','\'(23.97-27.08]\'','\'(23.5-32]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(4.2-5]\'','\'(5.5-6.2]\'',sep,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(66-74.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(5.8-6.6]\'','\'(5.5-6.2]\'',jul,mon,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(434.25-519.52]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',mar,mon,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(32-40.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',mar,mon,'\'(80.7-88.45]\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(-inf-5.61]\'','\'(8.42-11.53]\'','\'(40.5-49]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',sep,thu,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(-inf-23.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(2.7-3.4]\'',aug,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(2.7-3.4]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(2.7-3.4]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(2.7-3.4]\'',aug,thu,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(2.7-3.4]\'',sep,thu,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(27.08-30.19]\'','\'(23.5-32]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(2.7-3.4]\'',sep,tue,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(57.5-66]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(2.7-3.4]\'',oct,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(49-57.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',feb,mon,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',feb,fri,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(49-57.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',mar,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',mar,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(5.61-11.22]\'','\'(5.31-8.42]\'','\'(57.5-66]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',aug,thu,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(434.25-519.52]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',aug,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',aug,mon,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',aug,thu,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',sep,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',sep,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(11.22-16.83]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',sep,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(11.22-16.83]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',mar,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',mar,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(11.22-16.83]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(6.7-7.6]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',sep,fri,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(11.22-16.83]\'','\'(14.64-17.75]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(4.2-5]\'','\'(3.4-4.1]\'',mar,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(4.2-5]\'','\'(3.4-4.1]\'',aug,tue,'\'(88.45-inf)\'','\'(146.2-175.22]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(4.2-5]\'','\'(3.4-4.1]\'',sep,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(11.22-16.83]\'','\'(27.08-30.19]\'','\'(23.5-32]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(8.2-inf)\'','\'(8.3-inf)\'',feb,thu,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(5.31-8.42]\'','\'(74.5-83]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(8.2-inf)\'','\'(8.3-inf)\'',feb,fri,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(2.7-3.4]\'',mar,mon,'\'(80.7-88.45]\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(-inf-5.61]\'','\'(5.31-8.42]\'','\'(66-74.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,fri,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(519.52-604.79]\'','\'(11.22-16.83]\'','\'(14.64-17.75]\'','\'(57.5-66]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,tue,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(-inf-23.5]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,tue,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(16.83-22.44]\'','\'(17.75-20.86]\'','\'(49-57.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,thu,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',sep,thu,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(-inf-23.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
