1,2,3,4,5,6,7,8,9,10
adviser,32/60,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(230.4-inf)\'','\'(15.6-20.8]\'','\'(123.2-140.8]\'','\'(120.4-234.8]\'',199
amdahl,470v/7,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(234.8-349.2]\'',253
amdahl,470v/7a,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(120.4-234.8]\'',253
amdahl,470v/7b,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(120.4-234.8]\'',253
amdahl,470v/7c,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(12851.2-19244.8]\'','\'(25.6-51.2]\'','\'(5.2-10.4]\'','\'(-inf-17.6]\'','\'(120.4-234.8]\'',132
amdahl,470v/b,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(234.8-349.2]\'',290
amdahl,580-5840,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(15.6-20.8]\'','\'(17.6-35.2]\'','\'(349.2-463.6]\'',381
amdahl,580-5850,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(15.6-20.8]\'','\'(17.6-35.2]\'','\'(463.6-578]\'',381
amdahl,580-5860,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(57606.4-inf)\'','\'(51.2-76.8]\'','\'(15.6-20.8]\'','\'(17.6-35.2]\'','\'(578-692.4]\'',749
amdahl,580-5880,'\'(-inf-165.3]\'','\'(28806.4-inf)\'','\'(57606.4-inf)\'','\'(102.4-128]\'','\'(31.2-36.4]\'','\'(52.8-70.4]\'','\'(1035.6-inf)\'',1238
apollo,dn320,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',23
apollo,dn420,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',24
basf,7/65,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(51.2-76.8]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',70
basf,7/68,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(12851.2-19244.8]\'','\'(51.2-76.8]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(120.4-234.8]\'',117
bti,5000,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',15
bti,8000,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',64
burroughs,b1955,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',23
burroughs,b2900,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',29
burroughs,b2925,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',22
burroughs,b4955,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(-inf-6457.6]\'','\'(128-153.6]\'','\'(5.2-10.4]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',124
burroughs,b5900,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',35
burroughs,b5920,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',39
burroughs,b6900,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',40
burroughs,b6925,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',45
c.r.d,68/10-80,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',28
c.r.d,universe:2203t,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',21
c.r.d,universe:68,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',28
c.r.d,universe:68/05,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',22
c.r.d,universe:68/137,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',28
c.r.d,universe:68/37,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',27
cdc,cyber:170/750,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(128-153.6]\'','\'(10.4-15.6]\'','\'(17.6-35.2]\'','\'(234.8-349.2]\'',102
cdc,cyber:170/760,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(128-153.6]\'','\'(10.4-15.6]\'','\'(17.6-35.2]\'','\'(349.2-463.6]\'',102
cdc,cyber:170/815,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(25.6-51.2]\'','\'(10.4-15.6]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',74
cdc,cyber:170/825,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(25.6-51.2]\'','\'(10.4-15.6]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',74
cdc,cyber:170/835,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(19244.8-25638.4]\'','\'(25.6-51.2]\'','\'(10.4-15.6]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',138
cdc,cyber:170/845,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(19244.8-25638.4]\'','\'(25.6-51.2]\'','\'(10.4-15.6]\'','\'(17.6-35.2]\'','\'(120.4-234.8]\'',136
cdc,omega:480-i,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',23
cdc,omega:480-ii,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',29
cdc,omega:480-iii,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',44
cambex,1636-1,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',30
cambex,1636-10,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',41
cambex,1641-1,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',74
cambex,1641-11,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',74
cambex,1651-1,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',74
dec,decsys:10:1091,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',54
dec,decsys:20:2060,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',41
dec,microvax-1,'\'(758.5-906.8]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',18
dec,vax:11/730,'\'(758.5-906.8]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',28
dec,vax:11/750,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',36
dec,vax:11/780,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',38
dg,eclipse:c/350,'\'(610.2-758.5]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',34
dg,eclipse:m/600,'\'(610.2-758.5]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',19
dg,eclipse:mv/10000,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(120.4-234.8]\'',72
dg,eclipse:mv/4000,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',36
dg,eclipse:mv/6000,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',30
dg,eclipse:mv/8000,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',56
dg,eclipse:mv/8000-ii,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',42
formation,f4000/100,'\'(758.5-906.8]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',34
formation,f4000/200,'\'(758.5-906.8]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',34
formation,f4000/200ap,'\'(758.5-906.8]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',34
formation,f4000/300,'\'(758.5-906.8]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',34
formation,f4000/300ap,'\'(758.5-906.8]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',34
four-phase,2000/260,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',19
gould,concept:32/8705,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(51.2-76.8]\'','\'(-inf-5.2]\'','\'(35.2-52.8]\'','\'(120.4-234.8]\'',75
gould,concept:32/8750,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(51.2-76.8]\'','\'(-inf-5.2]\'','\'(35.2-52.8]\'','\'(120.4-234.8]\'',113
gould,concept:32/8780,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(102.4-128]\'','\'(-inf-5.2]\'','\'(35.2-52.8]\'','\'(234.8-349.2]\'',157
hp,3000/30,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',18
hp,3000/40,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',20
hp,3000/44,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',28
hp,3000/48,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',33
hp,3000/64,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',47
hp,3000/88,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(35.2-52.8]\'','\'(-inf-120.4]\'',54
hp,3000/iii,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',20
harris,100,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',23
harris,300,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',25
harris,500,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',52
harris,600,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',27
harris,700,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',50
harris,80,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',18
harris,800,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',53
honeywell,dps:6/35,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',23
honeywell,dps:6/92,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',30
honeywell,dps:6/96,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(105.6-123.2]\'','\'(-inf-120.4]\'',73
honeywell,dps:7/35,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',20
honeywell,dps:7/45,'\'(313.6-461.9]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',25
honeywell,dps:7/55,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',28
honeywell,dps:7/65,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',29
honeywell,dps:8/44,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',32
honeywell,dps:8/49,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(120.4-234.8]\'',175
honeywell,dps:8/50,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(6457.6-12851.2]\'','\'(25.6-51.2]\'','\'(-inf-5.2]\'','\'(52.8-70.4]\'','\'(-inf-120.4]\'',57
honeywell,dps:8/52,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(-inf-5.2]\'','\'(52.8-70.4]\'','\'(120.4-234.8]\'',181
honeywell,dps:8/62,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(25638.4-32032]\'','\'(25.6-51.2]\'','\'(-inf-5.2]\'','\'(52.8-70.4]\'','\'(120.4-234.8]\'',181
honeywell,dps:8/20,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(17.6-35.2]\'','\'(-inf-120.4]\'',32
ibm,3033:s,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(-inf-17.6]\'','\'(120.4-234.8]\'',82
ibm,3033:u,'\'(-inf-165.3]\'','\'(3257.6-6451.2]\'','\'(19244.8-25638.4]\'','\'(51.2-76.8]\'','\'(10.4-15.6]\'','\'(-inf-17.6]\'','\'(234.8-349.2]\'',171
ibm,3081,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(15.6-20.8]\'','\'(17.6-35.2]\'','\'(463.6-578]\'',361
ibm,3081:d,'\'(-inf-165.3]\'','\'(12838.4-16032]\'','\'(25638.4-32032]\'','\'(51.2-76.8]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(463.6-578]\'',350
ibm,3083:b,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(25638.4-32032]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(17.6-35.2]\'','\'(234.8-349.2]\'',220
ibm,3083:e,'\'(-inf-165.3]\'','\'(6451.2-9644.8]\'','\'(12851.2-19244.8]\'','\'(-inf-25.6]\'','\'(5.2-10.4]\'','\'(-inf-17.6]\'','\'(120.4-234.8]\'',113
ibm,370/125-2,'\'(461.9-610.2]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',15
ibm,370/148,'\'(165.3-313.6]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',21
ibm,370/158-3,'\'(-inf-165.3]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',35
ibm,Mar-38,'\'(1055.1-1203.4]\'','\'(-inf-3257.6]\'','\'(-inf-6457.6]\'','\'(-inf-25.6]\'','\'(-inf-5.2]\'','\'(-inf-17.6]\'','\'(-inf-120.4]\'',18
